TEAM    R	TB	RBI	BB	K	HBP	SB	CS	IP	H	ER	BB	HB	K	QS	W	L	SV	PF	PA	STRK    MOVES
Mr. May	654	1916	590	389	964	36	101	32		875.1	715	293	304	27	883	79	57	35	61		6034	5486	W6	25
The Grundys	555	1741	505	402	794	41	97	31		950.0	941	462	316	31	946	74	65	50	43		5432.5	5605.5	L1	123
The Cat Barbers	573	1760	531	320	806	32	72	20		1133.2	1008	477	343	45	1186	107	91	48	5		5815.5	5151.5	W8	67
Fungo Kings	623	2003	610	405	735	41	35	11		928.0	860	398	304	30	809	83	62	50	33		5688	5495.5	L5	22
Lucky Gravy	564	1853	600	431	889	31	53	16		768.0	773	393	254	46	810	50	43	47	90		5474.5	5392.5	W1	32
Michigan and Trumbull	606	1842	545	470	845	52	85	20		952.2	883	441	338	52	930	78	63	60	37		5575	5679.5	W2	94
Los Ninos de Rigoberto	605	1899	632	447	930	60	65	18		866.0	894	457	300	36	697	65	55	49	32		5224	5511	L1	50
GR Mudrats	618	1804	597	455	920	39	65	24		1023.0	977	429	288	32	1034	97	58	55	24		5585	5683	W1	38
HIGH HEAT	610	1837	608	435	804	45	63	34		956.0	921	438	285	38	939	81	60	59	11		5345	5742.5	L2	47
Dong Juan	569	1804	553	419	938	43	62	23		866.1	812	396	290	35	837	71	56	53	39		5177.5	5604	L3	78
